	TCGA.AB.2805.03A	TCGA.AB.2806.03A	TCGA.AB.2808.03A	TCGA.AB.2810.03A	TCGA.AB.2812.03A	TCGA.AB.2813.03A	TCGA.AB.2814.03A	TCGA.AB.2815.03A	TCGA.AB.2817.03A	TCGA.AB.2818.03A	TCGA.AB.2819.03A	TCGA.AB.2820.03A	TCGA.AB.2821.03A	TCGA.AB.2822.03A	TCGA.AB.2823.03A	TCGA.AB.2825.03A	TCGA.AB.2826.03A	TCGA.AB.2828.03A	TCGA.AB.2830.03A	TCGA.AB.2834.03A	TCGA.AB.2835.03A	TCGA.AB.2836.03A	TCGA.AB.2839.03A	TCGA.AB.2840.03A	TCGA.AB.2842.03A	TCGA.AB.2843.03A	TCGA.AB.2844.03A	TCGA.AB.2846.03A	TCGA.AB.2847.03A	TCGA.AB.2849.03A	TCGA.AB.2851.03A	TCGA.AB.2853.03A	TCGA.AB.2856.03A	TCGA.AB.2857.03A	TCGA.AB.2858.03A	TCGA.AB.2861.03A	TCGA.AB.2862.03A	TCGA.AB.2863.03A	TCGA.AB.2866.03A	TCGA.AB.2867.03A	TCGA.AB.2869.03A	TCGA.AB.2870.03A	TCGA.AB.2871.03A	TCGA.AB.2872.03A	TCGA.AB.2873.03A	TCGA.AB.2874.03A	TCGA.AB.2875.03A	TCGA.AB.2876.03A	TCGA.AB.2877.03A	TCGA.AB.2878.03A	TCGA.AB.2880.03A	TCGA.AB.2881.03A	TCGA.AB.2882.03A	TCGA.AB.2883.03A	TCGA.AB.2884.03A	TCGA.AB.2885.03A	TCGA.AB.2886.03A	TCGA.AB.2889.03A	TCGA.AB.2890.03A	TCGA.AB.2891.03A	TCGA.AB.2892.03A	TCGA.AB.2893.03A	TCGA.AB.2894.03A	TCGA.AB.2895.03A	TCGA.AB.2897.03A	TCGA.AB.2898.03A	TCGA.AB.2899.03A	TCGA.AB.2900.03A	TCGA.AB.2901.03A	TCGA.AB.2908.03A	TCGA.AB.2909.03A	TCGA.AB.2910.03A	TCGA.AB.2911.03A	TCGA.AB.2912.03A	TCGA.AB.2913.03A	TCGA.AB.2914.03A	TCGA.AB.2915.03A	TCGA.AB.2916.03A	TCGA.AB.2917.03A	TCGA.AB.2918.03A	TCGA.AB.2919.03A	TCGA.AB.2921.03A	TCGA.AB.2924.03A	TCGA.AB.2925.03A	TCGA.AB.2927.03A	TCGA.AB.2928.03A	TCGA.AB.2929.03A	TCGA.AB.2930.03A	TCGA.AB.2931.03A	TCGA.AB.2932.03A	TCGA.AB.2933.03A	TCGA.AB.2934.03A	TCGA.AB.2935.03A	TCGA.AB.2936.03A	TCGA.AB.2937.03A	TCGA.AB.2938.03A	TCGA.AB.2939.03A	TCGA.AB.2940.03A	TCGA.AB.2941.03A	TCGA.AB.2942.03A	TCGA.AB.2943.03A	TCGA.AB.2944.03A	TCGA.AB.2946.03A	TCGA.AB.2948.03A	TCGA.AB.2950.03A	TCGA.AB.2955.03A	TCGA.AB.2956.03A	TCGA.AB.2959.03A	TCGA.AB.2963.03A	TCGA.AB.2965.03A	TCGA.AB.2966.03A	TCGA.AB.2970.03A	TCGA.AB.2971.03A	TCGA.AB.2973.03A	TCGA.AB.2975.03A	TCGA.AB.2976.03A	TCGA.AB.2980.03A	TCGA.AB.2983.03A	TCGA.AB.2984.03A	TCGA.AB.2986.03A	TCGA.AB.2987.03A	TCGA.AB.2991.03A	TCGA.AB.2992.03A	TCGA.AB.2995.03A	TCGA.AB.2996.03A	TCGA.AB.2998.03A	TCGA.AB.3000.03A	TCGA.AB.3001.03A	TCGA.AB.3002.03A	TCGA.AB.3007.03A	TCGA.AB.3008.03A	TCGA.AB.3009.03A	TCGA.AB.3011.03A	TCGA.AB.3012.03A
cg06311778	0.12	0.07	0.06	0.1	0.08	0.07	0.1	0.06	0.07	0.07	0.11	0.08	0.55	0.31	0.06	0.06	0.11	0.06	0.11	0.1	0.04	0.07	0.07	0.04	0.06	0.18	0.05	0.05	0.12	0.05	0.08	0.04	0.09	0.18	0.17	0.07	0.08	0.25	0.17	0.23	0.13	0.06	0.17	0.05	0.09	0.25	0.12	0.1	0.09	0.07	0.09	0.07	0.17	0.06	0.14	0.13	0.07	0.06	0.23	0.08	0.05	0.05	0.06	0.07	0.04	0.04	0.11	0.17	0.45	0.09	0.05	0.08	0.07	0.04	0.05	0.05	0.07	0.08	0.2	0.15	0.09	0.16	0.08	0.04	0.13	0.04	0.25	0.07	0.07	0.09	0.1	0.04	0.16	0.36	0.08	0.1	0.07	0.17	0.06	0.07	0.14	0.17	0.07	0.11	0.06	0.13	0.09	0.48	0.06	0.04	0.06	0.11	0.05	0.24	0.08	0.05	0.09	0.09	0.27	0.09	0.11	0.07	0.24	0.14	0.07	0.04	0.1	0.1	0.26	0.07	0.15	0.06	0.11	0.07
cg01773854	0.03	0.02	0.02	0.03	0.03	0.03	0.04	0.02	0.02	0.03	0.03	0.03	0.1	0.03	0.03	0.02	0.06	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.13	0.02	0.04	0.03	0.03	0.02	0.03	0.02	0.02	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.02	0.03	0.03	0.04	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.04	0.03	0.03	0.05	0.02	0.03	0.02	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.22	0.03	0.03	0.04	0.03	0.03	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.03
cg22052955	0.05	0.05	0.06	0.06	0.07	0.05	0.07	0.05	0.08	0.06	0.05	0.05	0.06	0.04	0.06	0.06	0.07	0.07	0.05	0.04	0.06	0.07	0.08	0.06	0.05	0.06	0.06	0.06	0.06	0.05	0.07	0.07	0.07	0.06	0.05	0.06	0.06	0.07	0.05	0.07	0.07	0.04	0.06	0.05	0.07	0.06	0.06	0.04	0.06	0.06	0.06	0.07	0.07	0.06	0.06	0.07	0.07	0.04	0.06	0.05	0.07	0.06	0.04	0.05	0.06	0.05	0.07	0.06	0.06	0.06	0.06	0.07	0.06	0.04	0.07	0.05	0.07	0.07	0.04	0.08	0.08	0.07	0.06	0.07	0.06	0.07	0.06	0.07	0.07	0.07	0.06	0.04	0.07	0.07	0.07	0.07	0.05	0.06	0.08	0.05	0.06	0.06	0.07	0.07	0.06	0.07	0.06	0.06	0.07	0.06	0.05	0.07	0.03	0.06	0.06	0.06	0.06	0.07	0.08	0.07	0.05	0.07	0.08	0.09	0.05	0.06	0.06	0.06	0.05	0.05	0.05	0.05	0.06	0.06
cg12820608	0.04	0.03	0.04	0.11	0.06	0.03	0.03	0.03	0.06	0.04	0.04	0.03	0.09	0.07	0.06	0.03	0.06	0.04	0.03	0.04	0.03	0.04	0.05	0.04	0.03	0.03	0.05	0.04	0.07	0.03	0.05	0.04	0.04	0.04	0.04	0.02	0.1	0.12	0.04	0.07	0.05	0.03	0.04	0.07	0.03	0.19	0.03	0.04	0.08	0.04	0.03	0.03	0.13	0.03	0.08	0.06	0.05	0.03	0.03	0.03	0.05	0.03	0.03	0.04	0.04	0.03	0.03	0.09	0.06	0.03	0.03	0.04	0.05	0.03	0.05	0.03	0.03	0.03	0.04	0.12	0.15	0.04	0.04	0.02	0.03	0.03	0.04	0.05	0.05	0.04	0.04	0.04	0.09	0.05	0.03	0.03	0.03	0.05	0.04	0.04	0.05	0.03	0.05	0.05	0.05	0.06	0.04	0.05	0.04	0.03	0.25	0.05	0.03	0.06	0.03	0.04	0.05	0.04	0.15	0.06	0.03	0.05	0.08	0.05	0.03	0.06	0.04	0.05	0.28	0.05	0.04	0.03	0.05	0.05
cg13445358	0.04	0.03	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.05	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.03	0.03	0.03	0.05	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.05	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.05	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.06	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.02	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04
cg26829131	0.48	0.4	0.09	0.04	0.4	0.29	0.37	0.13	0.04	0.11	0.41	0.08	0.07	0.05	0.04	0.03	0.04	0.04	0.06	0.07	0.04	0.08	0.1	0.46	0.18	0.05	0.11	0.03	0.37	0.73	0.04	0.03	0.09	0.11	0.07	0.03	0.05	0.06	0.05	0.4	0.06	0.05	0.12	0.19	0.04	0.09	0.04	0.07	0.05	0.08	0.06	0.02	0.05	0.05	0.04	0.06	0.43	0.03	0.07	0.11	0.03	0.03	0.31	0.03	0.04	0.03	0.1	0.06	0.05	0.04	0.03	0.03	0.12	0.05	0.14	0.05	0.05	0.04	0.05	0.08	0.04	0.09	0.1	0.03	0.32	0.03	0.08	0.04	0.04	0.04	0.06	0.02	0.1	0.07	0.04	0.11	0.14	0.53	0.05	0.09	0.06	0.2	0.1	0.04	0.1	0.19	0.04	0.04	0.08	0.03	0.19	0.07	0.03	0.04	0.05	0.05	0.04	0.06	0.05	0.09	0.03	0.04	0.04	0.04	0.03	0.4	0.08	0.07	0.29	0.03	0.15	0.84	0.05	0.04
cg25917510	0.07	0.05	0.23	0.05	0.08	0.06	0.06	0.04	0.07	0.05	0.05	0.07	0.06	0.07	0.05	0.05	0.06	0.07	0.06	0.12	0.16	0.08	0.21	0.08	0.05	0.06	0.13	0.06	0.07	0.44	0.06	0.05	0.07	0.05	0.05	0.05	0.06	0.08	0.14	0.05	0.05	0.04	0.05	0.08	0.05	0.09	0.05	0.09	0.44	0.05	0.13	0.06	0.05	0.08	0.07	0.07	0.1	0.04	0.06	0.1	0.03	0.05	0.03	0.04	0.08	0.05	0.08	0.07	0.07	0.06	0.06	0.05	0.1	0.06	0.14	0.06	0.09	0.03	0.06	0.06	0.13	0.07	0.08	0.06	0.07	0.07	0.05	0.08	0.05	0.07	0.15	0.04	0.11	0.07	0.06	0.06	0.1	0.56	0.06	0.05	0.05	0.16	0.09	0.07	0.06	0.21	0.07	0.13	0.06	0.06	0.57	0.07	0.04	0.05	0.07	0.07	0.05	0.08	0.12	0.09	0.04	0.07	0.05	0.06	0.03	0.06	0.1	0.04	0.08	0.23	0.44	0.5	0.06	0.16
cg05022306	0.04	0.05	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.14	0.03	0.03	0.04	0.05	0.03	0.04	0.4	0.03	0.03	0.03	0.02	0.03	0.03	0.04	0.04	0.06	0.03	0.03	0.03	0.04	0.05	0.03	0.06	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.06	0.03	0.05	0.03	0.03	0.03	0.03	0.03	0.05	0.03	0.03	0.02	0.03	0.04	0.04	0.03	0.02	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.08	0.02	0.03	0.03	0.06	0.05	0.03	0.04	0.04	0.03	0.04	0.03	0.04	0.47	0.03	0.03	0.04	0.02	0.03	0.03	0.04	0.04	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.05	0.08	0.07	0.66	0.03	0.03
cg10593493	0.04	0.04	0.04	0.07	0.05	0.04	0.03	0.04	0.05	0.04	0.04	0.04	0.05	0.04	0.05	0.04	0.05	0.04	0.03	0.04	0.03	0.04	0.05	0.05	0.03	0.04	0.05	0.04	0.04	0.03	0.04	0.05	0.05	0.03	0.04	0.04	0.03	0.09	0.05	0.05	0.06	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.05	0.04	0.05	0.04	0.07	0.03	0.04	0.04	0.04	0.03	0.03	0.04	0.05	0.02	0.04	0.04	0.04	0.02	0.04	0.05	0.04	0.05	0.04	0.05	0.05	0.04	0.15	0.04	0.05	0.04	0.05	0.05	0.06	0.05	0.04	0.05	0.06	0.07	0.04	0.05	0.05	0.05	0.05	0.03	0.05	0.05	0.04	0.04	0.04	0.14	0.04	0.04	0.04	0.2	0.05	0.05	0.09	0.04	0.04	0.06	0.05	0.05	0.29	0.04	0.03	0.03	0.06	0.05	0.04	0.07	0.05	0.04	0.03	0.06	0.05	0.04	0.04	0.04	0.06	0.04	0.05	0.04	0.05	0.03	0.05	0.05
cg16718891	0.08	0.06	0.06	0.07	0.08	0.08	0.08	0.07	0.08	0.07	0.07	0.06	0.07	0.08	0.07	0.07	0.06	0.09	0.06	0.07	0.08	0.07	0.09	0.07	0.07	0.1	0.1	0.07	0.06	0.05	0.08	0.06	0.07	0.07	0.08	0.07	0.08	0.09	0.06	0.08	0.11	0.06	0.08	0.08	0.09	0.07	0.07	0.07	0.06	0.08	0.06	0.07	0.09	0.08	0.06	0.06	0.08	0.07	0.08	0.07	0.09	0.07	0.07	0.07	0.07	0.07	0.07	0.08	0.06	0.08	0.09	0.09	0.08	0.09	0.1	0.09	0.1	0.08	0.08	0.08	0.08	0.08	0.08	0.07	0.08	0.07	0.07	0.08	0.07	0.08	0.07	0.06	0.1	0.08	0.08	0.08	0.07	0.06	0.08	0.08	0.07	0.09	0.1	0.07	0.09	0.08	0.07	0.06	0.08	0.08	0.07	0.06	0.06	0.1	0.1	0.09	0.09	0.11	0.09	0.08	0.06	0.09	0.09	0.09	0.05	0.08	0.08	0.08	0.07	0.06	0.08	0.05	0.08	0.07
cg17523380	0.35	0.05	0.07	0.07	0.05	0.06	0.09	0.06	0.07	0.08	0.05	0.06	0.11	0.09	0.08	0.04	0.06	0.07	0.06	0.11	0.06	0.06	0.06	0.07	0.05	0.05	0.07	0.05	0.08	0.08	0.06	0.05	0.05	0.06	0.08	0.03	0.1	0.06	0.14	0.09	0.05	0.05	0.07	0.06	0.05	0.06	0.05	0.32	0.07	0.08	0.07	0.05	0.08	0.05	0.11	0.29	0.05	0.04	0.07	0.39	0.04	0.04	0.06	0.05	0.07	0.05	0.07	0.12	0.05	0.06	0.07	0.06	0.06	0.06	0.07	0.06	0.06	0.04	0.06	0.11	0.09	0.09	0.05	0.05	0.06	0.04	0.07	0.09	0.05	0.07	0.06	0.35	0.09	0.09	0.05	0.09	0.05	0.14	0.05	0.06	0.11	0.13	0.14	0.07	0.07	0.07	0.05	0.1	0.05	0.06	0.05	0.06	0.04	0.08	0.06	0.07	0.06	0.06	0.19	0.05	0.05	0.11	0.07	0.07	0.05	0.06	0.15	0.07	0.28	0.05	0.17	0.85	0.06	0.07
cg15702701	0.08	0.04	0.04	0.05	0.06	0.06	0.06	0.04	0.05	0.06	0.04	0.05	0.09	0.03	0.05	0.06	0.06	0.05	0.05	0.04	0.04	0.05	0.05	0.06	0.05	0.05	0.04	0.04	0.05	0.47	0.05	0.05	0.04	0.04	0.06	0.04	0.06	0.07	0.05	0.07	0.06	0.05	0.06	0.04	0.08	0.05	0.05	0.05	0.05	0.05	0.04	0.05	0.06	0.04	0.05	0.06	0.06	0.04	0.05	0.04	0.06	0.04	0.05	0.05	0.04	0.05	0.07	0.05	0.04	0.09	0.07	0.06	0.05	0.06	0.06	0.05	0.05	0.04	0.05	0.04	0.06	0.1	0.06	0.05	0.06	0.05	0.05	0.06	0.04	0.06	0.06	0.04	0.19	0.06	0.06	0.09	0.04	0.07	0.05	0.05	0.08	0.05	0.06	0.07	0.06	0.05	0.04	0.12	0.05	0.05	0.05	0.05	0.03	0.04	0.06	0.05	0.06	0.06	0.06	0.05	0.05	0.06	0.06	0.05	0.04	0.05	0.06	0.05	0.06	0.04	0.08	0.04	0.06	0.04
cg02007463	0.03	0.03	0.03	0.04	0.05	0.04	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.03	0.04	0.05	0.04	0.04	0.05	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.05	0.04	0.04	0.04	0.02	0.04	0.03	0.03	0.24	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.05	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.05	0.04	0.05	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.04	0.04	0.2	0.05	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.03	0.03	0.04	0.03	0.09	0.03	0.03	0.04	0.09	0.03	0.03	0.04	0.1	0.04	0.04	0.04	0.05	0.21	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.04	0.04	0.02	0.03	0.04	0.04	0.03	0.03	0.04	0.04	0.16	0.09	0.05	0.02	0.04	0.05
cg16360444	0.05	0.64	0.07	0.11	0.07	0.06	0.09	0.08	0.46	0.09	0.06	0.12	0.09	0.06	0.05	0.05	0.07	0.08	0.06	0.1	0.12	0.09	0.12	0.07	0.06	0.19	0.12	0.06	0.11	0.08	0.08	0.05	0.05	0.07	0.08	0.05	0.09	0.07	0.06	0.06	0.07	0.06	0.08	0.07	0.11	0.07	0.07	0.1	0.07	0.08	0.08	0.05	0.06	0.08	0.08	0.1	0.08	0.05	0.06	0.06	0.07	0.07	0.07	0.06	0.11	0.05	0.11	0.08	0.07	0.07	0.09	0.06	0.08	0.07	0.1	0.11	0.41	0.08	0.08	0.05	0.07	0.11	0.1	0.06	0.06	0.07	0.08	0.07	0.05	0.41	0.56	0.07	0.11	0.14	0.08	0.07	0.39	0.23	0.04	0.16	0.09	0.13	0.08	0.06	0.06	0.07	0.07	0.14	0.08	0.09	0.07	0.09	0.09	0.07	0.06	0.7	0.09	0.08	0.08	0.09	0.05	0.06	0.07	0.07	0.06	0.07	0.1	0.09	0.17	0.07	0.1	0.64	0.08	0.07
cg08346269	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.03	0.05	0.03	0.03	0.04	0.04	0.04	0.05	0.03	0.04	0.03	0.04	0.04	0.02	0.03	0.04	0.04	0.03	0.04	0.06	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.07	0.03	0.04	0.05	0.05	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.05	0.03	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.03	0.04	0.05	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.06	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.05	0.04	0.05	0.04	0.03	0.05	0.04	0.04	0.05	0.04	0.03	0.04	0.03	0.04	0.05	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.05	0.05	0.04	0.02	0.05	0.05	0.05	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.07	0.04
cg06495347	0.05	0.08	0.06	0.07	0.08	0.06	0.11	0.11	0.08	0.1	0.09	0.1	0.1	0.09	0.1	0.05	0.28	0.17	0.16	0.33	0.34	0.09	0.12	0.11	0.06	0.3	0.15	0.09	0.14	0.35	0.08	0.06	0.11	0.1	0.17	0.05	0.12	0.13	0.08	0.11	0.08	0.07	0.23	0.07	0.06	0.37	0.11	0.05	0.08	0.04	0.05	0.12	0.1	0.06	0.08	0.1	0.21	0.05	0.19	0.06	0.07	0.43	0.09	0.05	0.06	0.04	0.13	0.39	0.08	0.08	0.12	0.07	0.08	0.07	0.09	0.48	0.08	0.1	0.07	0.08	0.05	0.07	0.09	0.03	0.1	0.03	0.06	0.08	0.07	0.07	0.04	0.03	0.13	0.09	0.08	0.16	0.03	0.1	0.05	0.06	0.11	0.06	0.1	0.06	0.07	0.05	0.07	0.06	0.12	0.06	0.05	0.1	0.07	0.09	0.04	0.06	0.06	0.09	0.07	0.11	0.15	0.11	0.07	0.11	0.05	0.06	0.46	0.11	0.1	0.11	0.15	0.15	0.1	0.22
cg03437318	0.17	0.13	0.34	0.08	0.29	0.07	0.16	0.14	0.14	0.2	0.06	0.09	0.16	0.09	0.14	0.05	0.18	0.09	0.07	0.51	0.24	0.18	0.51	0.1	0.22	0.12	0.3	0.08	0.08	0.2	0.15	0.05	0.2	0.13	0.13	0.04	0.14	0.12	0.21	0.1	0.09	0.21	0.2	0.18	0.05	0.16	0.1	0.49	0.1	0.11	0.19	0.07	0.26	0.05	0.05	0.26	0.12	0.08	0.13	0.16	0.11	0.05	0.07	0.06	0.2	0.04	0.12	0.12	0.14	0.05	0.21	0.05	0.19	0.06	0.1	0.34	0.11	0.04	0.17	0.53	0.29	0.22	0.19	0.05	0.1	0.07	0.16	0.13	0.12	0.42	0.1	0.16	0.23	0.14	0.07	0.14	0.4	0.35	0.33	0.07	0.07	0.49	0.29	0.06	0.09	0.15	0.22	0.09	0.26	0.1	0.65	0.42	0.04	0.11	0.05	0.08	0.07	0.15	0.12	0.27	0.04	0.19	0.09	0.07	0.06	0.08	0.15	0.26	0.46	0.11	0.47	0.64	0.12	0.17
cg21609430	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.12	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.02	0.04	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.03
cg23309825	0.05	0.07	0.07	0.08	0.06	0.05	0.05	0.05	0.05	0.04	0.05	0.03	0.27	0.07	0.09	0.03	0.08	0.05	0.05	0.07	0.03	0.06	0.05	0.11	0.04	0.06	0.05	0.06	0.07	0.04	0.04	0.04	0.05	0.04	0.06	0.04	0.12	0.06	0.05	0.09	0.04	0.04	0.09	0.06	0.05	0.16	0.05	0.05	0.07	0.05	0.07	0.03	0.11	0.04	0.05	0.06	0.05	0.04	0.07	0.04	0.05	0.04	0.05	0.04	0.11	0.05	0.05	0.05	0.19	0.03	0.04	0.05	0.05	0.05	0.04	0.05	0.05	0.06	0.05	0.08	0.06	0.06	0.05	0.05	0.05	0.04	0.05	0.05	0.05	0.04	0.07	0.05	0.08	0.11	0.05	0.06	0.05	0.06	0.04	0.05	0.06	0.07	0.06	0.05	0.05	0.05	0.12	0.07	0.05	0.05	0.07	0.04	0.04	0.1	0.03	0.06	0.05	0.05	0.1	0.05	0.05	0.1	0.07	0.06	0.05	0.1	0.08	0.06	0.13	0.1	0.06	0.03	0.05	0.1
cg10878896	0.22	0.09	0.06	0.11	0.07	0.03	0.03	0.14	0.11	0.04	0.22	0.04	0.16	0.34	0.06	0.02	0.11	0.04	0.04	0.08	0.05	0.09	0.26	0.04	0.03	0.05	0.09	0.04	0.03	0.04	0.07	0.03	0.03	0.03	0.06	0.05	0.03	0.13	0.11	0.34	0.04	0.1	0.06	0.05	0.03	0.43	0.11	0.06	0.25	0.07	0.12	0.2	0.08	0.03	0.08	0.15	0.34	0.33	0.12	0.03	0.13	0.03	0.04	0.03	0.04	0.02	0.1	0.18	0.68	0.03	0.39	0.03	0.05	0.05	0.19	0.43	0.08	0.04	0.06	0.06	0.17	0.17	0.09	0.02	0.03	0.03	0.05	0.04	0.05	0.04	0.17	0.07	0.06	0.51	0.2	0.03	0.03	0.29	0.03	0.22	0.07	0.42	0.13	0.12	0.1	0.04	0.03	0.19	0.07	0.03	0.59	0.18	0.05	0.09	0.06	0.04	0.05	0.05	0.8	0.14	0.03	0.06	0.18	0.03	0.02	0.03	0.18	0.04	0.33	0.03	0.22	0.03	0.06	0.05
cg20877313	0.05	0.03	0.3	0.1	0.4	0.03	0.02	0.03	0.05	0.03	0.02	0.04	0.47	0.05	0.03	0.03	0.08	0.02	0.02	0.23	0.04	0.03	0.8	0.02	0.03	0.03	0.1	0.03	0.02	0.03	0.03	0.03	0.04	0.03	0.02	0.03	0.05	0.04	0.47	0.04	0.03	0.03	0.02	0.03	0.03	0.34	0.02	0.59	0.86	0.03	0.04	0.02	0.03	0.02	0.04	0.03	0.02	0.03	0.06	0.04	0.03	0.02	0.04	0.03	0.03	0.03	0.12	0.37	0.32	0.05	0.03	0.03	0.07	0.02	0.08	0.04	0.03	0.03	0.04	0.18	0.42	0.09	0.04	0.02	0.04	0.03	0.02	0.07	0.03	0.03	0.03	0.04	0.34	0.06	0.03	0.02	0.03	0.29	0.03	0.03	0.03	0.08	0.18	0.03	0.03	0.05	0.07	0.07	0.03	0.03	0.12	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.41	0.12	0.02	0.06	0.16	0.03	0.03	0.03	0.07	0.05	0.12	0.02	0.69	0.89	0.03	0.04
cg14679587	0.22	0.05	0.12	0.13	0.08	0.06	0.07	0.17	0.18	0.39	0.06	0.35	0.14	0.07	0.06	0.06	0.22	0.13	0.06	0.32	0.08	0.05	0.74	0.15	0.04	0.08	0.09	0.06	0.06	0.8	0.04	0.05	0.05	0.05	0.08	0.05	0.05	0.12	0.7	0.1	0.05	0.1	0.09	0.05	0.07	0.53	0.21	0.1	0.25	0.04	0.15	0.14	0.06	0.05	0.09	0.11	0.34	0.09	0.11	0.57	0.07	0.06	0.42	0.05	0.06	0.6	0.13	0.13	0.17	0.15	0.18	0.14	0.07	0.11	0.13	0.57	0.07	0.04	0.2	0.36	0.19	0.31	0.04	0.04	0.06	0.15	0.06	0.29	0.06	0.05	0.11	0.08	0.24	0.16	0.09	0.52	0.11	0.6	0.05	0.13	0.14	0.07	0.17	0.11	0.07	0.6	0.22	0.24	0.04	0.09	0.73	0.59	0.03	0.07	0.21	0.08	0.05	0.26	0.34	0.09	0.07	0.06	0.15	0.07	0.05	0.04	0.63	0.06	0.42	0.05	0.49	0.92	0.1	0.1
