	TCGA.2H.A9GF.01A	TCGA.2H.A9GG.01A	TCGA.2H.A9GH.01A	TCGA.2H.A9GI.01A	TCGA.2H.A9GJ.01A	TCGA.2H.A9GK.01A	TCGA.2H.A9GL.01A	TCGA.2H.A9GM.01A	TCGA.2H.A9GN.01A	TCGA.2H.A9GO.01A	TCGA.2H.A9GQ.01A	TCGA.2H.A9GR.01A	TCGA.IC.A6RE.01A	TCGA.IC.A6RE.11A	TCGA.IC.A6RF.01A	TCGA.IC.A6RF.11A	TCGA.IG.A3I8.01A	TCGA.IG.A3I8.11A	TCGA.IG.A3QL.01A	TCGA.IG.A3Y9.01A	TCGA.IG.A3YA.01A	TCGA.IG.A3YB.01A	TCGA.IG.A3YC.01A	TCGA.IG.A4P3.01A	TCGA.IG.A4QS.01A	TCGA.IG.A4QT.01A	TCGA.IG.A50L.01A	TCGA.IG.A51D.01A	TCGA.IG.A5B8.01A	TCGA.IG.A5S3.01A	TCGA.IG.A625.01A	TCGA.IG.A6QS.01A	TCGA.IG.A7DP.01A	TCGA.IG.A8O2.01A	TCGA.IG.A97H.01A	TCGA.IG.A97I.01A	TCGA.JY.A6F8.01A	TCGA.JY.A6FA.01A	TCGA.JY.A6FB.01A	TCGA.JY.A6FD.01A	TCGA.JY.A6FE.01A	TCGA.JY.A6FG.01A	TCGA.JY.A6FH.01A	TCGA.JY.A938.01A	TCGA.JY.A939.01A	TCGA.JY.A93C.01A	TCGA.JY.A93D.01A	TCGA.JY.A93E.01A	TCGA.JY.A93F.01A	TCGA.KH.A6WC.01A	TCGA.L5.A43C.01A	TCGA.L5.A43C.11A	TCGA.L5.A43E.01A	TCGA.L5.A43H.01A	TCGA.L5.A43I.01A	TCGA.L5.A43J.01A	TCGA.L5.A43M.01A	TCGA.L5.A4OE.01A	TCGA.L5.A4OF.01A	TCGA.L5.A4OF.11A	TCGA.L5.A4OG.01A	TCGA.L5.A4OG.11A	TCGA.L5.A4OH.01A	TCGA.L5.A4OI.01A	TCGA.L5.A4OJ.01A	TCGA.L5.A4OJ.11A	TCGA.L5.A4OM.01A	TCGA.L5.A4OM.11A	TCGA.L5.A4ON.01A	TCGA.L5.A4OO.01A	TCGA.L5.A4OP.01A	TCGA.L5.A4OQ.01A	TCGA.L5.A4OQ.11A	TCGA.L5.A4OR.01A	TCGA.L5.A4OS.01A	TCGA.L5.A4OT.01A	TCGA.L5.A4OU.01A	TCGA.L5.A4OW.01A	TCGA.L5.A4OX.01A	TCGA.L5.A88S.01A	TCGA.L5.A88T.01A	TCGA.L5.A88V.01A	TCGA.L5.A88W.01A	TCGA.L5.A88Y.01A	TCGA.L5.A88Z.01A	TCGA.L5.A891.01A	TCGA.L5.A893.01A	TCGA.L5.A8NE.01A	TCGA.L5.A8NF.01A	TCGA.L5.A8NG.01A	TCGA.L5.A8NH.01A	TCGA.L5.A8NI.01A	TCGA.L5.A8NJ.01A	TCGA.L5.A8NK.01A	TCGA.L5.A8NL.01A	TCGA.L5.A8NM.01A	TCGA.L5.A8NN.01A	TCGA.L5.A8NQ.01A	TCGA.L5.A8NR.01A	TCGA.L5.A8NS.01A	TCGA.L5.A8NT.01A	TCGA.L5.A8NU.01A	TCGA.L5.A8NV.01A	TCGA.L5.A8NW.01A	TCGA.L7.A56G.01A	TCGA.L7.A6VZ.01A	TCGA.LN.A49K.01A	TCGA.LN.A49L.01A	TCGA.LN.A49M.01A	TCGA.LN.A49N.01A	TCGA.LN.A49O.01A	TCGA.LN.A49P.01A	TCGA.LN.A49R.01A	TCGA.LN.A49S.01A	TCGA.LN.A49U.01A	TCGA.LN.A49W.01A	TCGA.LN.A49X.01A	TCGA.LN.A49Y.01A	TCGA.LN.A4A1.01A	TCGA.LN.A4A2.01A	TCGA.LN.A4A3.01A	TCGA.LN.A4A4.01A	TCGA.LN.A4A5.01A	TCGA.LN.A4A6.01A	TCGA.LN.A4A8.01A	TCGA.LN.A4A9.01A	TCGA.LN.A4MQ.01A	TCGA.LN.A4MR.01A	TCGA.LN.A5U5.01A	TCGA.LN.A5U6.01A	TCGA.LN.A5U7.01A	TCGA.LN.A7HV.01A	TCGA.LN.A7HW.01A	TCGA.LN.A7HX.01A	TCGA.LN.A7HY.01A	TCGA.LN.A7HZ.01A	TCGA.LN.A8HZ.01A	TCGA.LN.A8I0.01A	TCGA.LN.A8I1.01A	TCGA.LN.A9FO.01A	TCGA.LN.A9FP.01A	TCGA.LN.A9FQ.01A	TCGA.LN.A9FR.01A	TCGA.M9.A5M8.01A	TCGA.Q9.A6FU.01A	TCGA.Q9.A6FW.01A	TCGA.R6.A6DN.01B	TCGA.R6.A6DQ.01B	TCGA.R6.A6KZ.01A	TCGA.R6.A6L4.01A	TCGA.R6.A6L6.01B	TCGA.R6.A6XG.01B	TCGA.R6.A6XQ.01B	TCGA.R6.A6Y0.01B	TCGA.R6.A6Y2.01B	TCGA.R6.A8W5.01B	TCGA.R6.A8W8.01B	TCGA.R6.A8WC.01A	TCGA.R6.A8WG.01A	TCGA.RE.A7BO.01A	TCGA.S8.A6BV.01A	TCGA.S8.A6BW.01A	TCGA.V5.A7RB.01A	TCGA.V5.A7RC.01B	TCGA.V5.A7RC.06A	TCGA.V5.A7RE.01A	TCGA.V5.A7RE.11A	TCGA.V5.AASV.01A	TCGA.V5.AASW.01A	TCGA.V5.AASX.01A	TCGA.V5.AASX.11A	TCGA.VR.A8EO.01A	TCGA.VR.A8EP.01A	TCGA.VR.A8EQ.01A	TCGA.VR.A8ER.01A	TCGA.VR.A8ET.01A	TCGA.VR.A8EU.01A	TCGA.VR.A8EW.01A	TCGA.VR.A8EX.01A	TCGA.VR.A8EY.01A	TCGA.VR.A8EZ.01A	TCGA.VR.A8Q7.01A	TCGA.VR.AA4D.01A	TCGA.VR.AA4G.01A	TCGA.VR.AA7B.01A	TCGA.VR.AA7D.01A	TCGA.VR.AA7I.01A	TCGA.X8.AAAR.01A	TCGA.XP.A8T6.01A	TCGA.XP.A8T8.01A	TCGA.Z6.A8JD.01A	TCGA.Z6.A8JE.01A	TCGA.Z6.A9VB.01A	TCGA.Z6.AAPN.01A	TCGA.ZR.A9CJ.01B
cg10714284	0.08	0.03	0.05	0.03	0.03	0.03	0.07	0.04	0.06	0.06	0.05	0.05	0.04	0.09	0.04	0.11	0.15	0.16	0.08	0.11	0.25	0.06	0.09	0.03	0.04	0.03	0.07	0.06	0.09	0.04	0.05	0.06	0.05	0.05	0.05	0.07	0.03	0.06	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.04	0.06	0.03	0.06	0.05	0.07	0.07	0.04	0.08	0.04	0.04	0.04	0.04	0.06	0.05	0.03	0.05	0.04	0.04	0.03	0.06	0.05	0.07	0.04	0.07	0.03	0.04	0.13	0.03	0.06	0.05	0.04	0.05	0.03	0.1	0.06	0.04	0.07	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.03	0.08	0.03	0.04	0.15	0.04	0.03	0.06	0.04	0.22	0.05	0.08	0.04	0.03	0.03	0.03	0.06	0.05	0.07	0.06	0.05	0.06	0.06	0.04	0.09	0.05	0.04	0.03	0.07	0.05	0.05	0.18	0.36	0.03	0.05	0.03	0.08	0.04	0.04	0.06	0.04	0.04	0.09	0.06	0.07	0.06	0.05	0.05	0.04	0.07	0.13	0.08	0.05	0.04	0.05	0.05	0.04	0.03	0.11	0.04	0.07	0.05	0.03	0.05	0.04	0.04	0.02	0.03	0.07	0.06	0.04	0.15	0.04	0.04	0.04	0.04	0.03	0.06	0.03	0.03	0.04	0.04	0.04	0.04	0.07	0.09	0.08	0.13	0.04	0.05	0.16	0.06	0.05	0.07	0.16	0.07	0.08	0.04	0.07	0.08	0.07	0.22	0.05	0.06	0.08
cg26643856	0.1	0.26	0.05	0.2	0.05	0.05	0.06	0.04	0.29	0.06	0.07	0.21	0.13	0.11	0.07	0.08	0.17	0.07	0.09	0.11	0.06	0.45	0.08	0.21	0.06	0.05	0.06	0.16	0.06	0.06	0.09	0.29	0.06	0.1	0.25	0.28	0.1	0.11	0.04	0.1	0.08	0.1	0.08	0.16	0.12	0.06	0.05	0.04	0.06	0.1	0.06	0.08	0.07	0.08	0.07	0.38	0.08	0.05	0.06	0.14	0.04	0.17	0.13	0.15	0.04	0.16	0.09	0.16	0.1	0.14	0.08	0.04	0.07	0.05	0.05	0.08	0.06	0.07	0.07	0.07	0.2	0.22	0.06	0.09	0.16	0.06	0.11	0.48	0.14	0.12	0.05	0.08	0.04	0.18	0.1	0.31	0.08	0.11	0.32	0.18	0.04	0.06	0.17	0.06	0.11	0.04	0.16	0.29	0.11	0.12	0.07	0.17	0.12	0.09	0.05	0.17	0.05	0.04	0.04	0.07	0.08	0.15	0.33	0.05	0.04	0.05	0.21	0.08	0.15	0.13	0.08	0.07	0.29	0.06	0.26	0.1	0.12	0.05	0.37	0.29	0.07	0.18	0.05	0.05	0.06	0.09	0.04	0.05	0.05	0.27	0.07	0.12	0.05	0.09	0.08	0.03	0.05	0.12	0.06	0.1	0.18	0.07	0.23	0.26	0.25	0.09	0.05	0.04	0.07	0.06	0.08	0.06	0.08	0.06	0.13	0.06	0.2	0.09	0.13	0.05	0.11	0.04	0.05	0.06	0.3	0.16	0.27	0.37	0.06	0.09	0.07	0.1	0.06	0.06	0.07
cg25535027	0.05	0.03	0.05	0.06	0.05	0.09	0.08	0.05	0.05	0.07	0.04	0.06	0.1	0.15	0.08	0.08	0.08	0.06	0.08	0.08	0.15	0.08	0.14	0.15	0.04	0.19	0.07	0.11	0.07	0.08	0.06	0.07	0.19	0.08	0.06	0.06	0.05	0.06	0.05	0.13	0.06	0.05	0.05	0.09	0.1	0.03	0.12	0.1	0.08	0.16	0.25	0.1	0.06	0.09	0.05	0.07	0.08	0.08	0.05	0.06	0.08	0.08	0.07	0.04	0.05	0.04	0.04	0.06	0.16	0.11	0.06	0.13	0.08	0.06	0.12	0.07	0.14	0.09	0.09	0.09	0.16	0.05	0.07	0.07	0.06	0.06	0.08	0.07	0.04	0.08	0.05	0.05	0.05	0.06	0.05	0.09	0.04	0.13	0.06	0.08	0.05	0.14	0.06	0.04	0.04	0.08	0.11	0.08	0.06	0.11	0.08	0.1	0.05	0.08	0.04	0.16	0.11	0.03	0.03	0.05	0.1	0.05	0.08	0.06	0.1	0.07	0.05	0.09	0.05	0.05	0.04	0.07	0.05	0.05	0.06	0.09	0.07	0.07	0.07	0.08	0.12	0.04	0.1	0.08	0.05	0.07	0.05	0.07	0.05	0.05	0.07	0.05	0.04	0.08	0.05	0.07	0.05	0.04	0.07	0.09	0.07	0.05	0.07	0.05	0.05	0.09	0.09	0.06	0.07	0.06	0.05	0.08	0.07	0.09	0.04	0.09	0.08	0.08	0.17	0.05	0.07	0.07	0.05	0.14	0.06	0.14	0.12	0.07	0.09	0.11	0.15	0.05	0.08	0.14	0.06
cg07433344	0.04	0.03	0.05	0.03	0.04	0.03	0.03	0.34	0.05	0.05	0.57	0.03	0.04	0.05	0.04	0.04	0.04	0.04	0.44	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.34	0.03	0.04	0.08	0.04	0.05	0.06	0.04	0.05	0.13	0.04	0.06	0.04	0.04	0.22	0.04	0.04	0.04	0.04	0.03	0.04	0.06	0.04	0.05	0.04	0.06	0.03	0.07	0.05	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.05	0.04	0.04	0.29	0.04	0.04	0.04	0.05	0.05	0.06	0.06	0.03	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.06	0.05	0.05	0.05	0.04	0.38	0.08	0.04	0.03	0.06	0.04	0.04	0.06	0.05	0.14	0.03	0.05	0.04	0.04	0.04	0.04	0.04	0.05	0.56	0.04	0.05	0.04	0.06	0.04	0.1	0.09	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.08	0.03	0.05	0.04	0.04	0.04	0.04	0.04	0.05	0.06	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.05	0.14	0.05	0.04	0.05	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.05	0.03	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.03	0.05	0.03	0.04	0.04	0.05	0.04	0.05	0.03	0.05	0.06	0.04	0.05	0.03	0.04	0.05	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.04	0.1	0.04	0.13	0.51
cg12650926	0.07	0.05	0.07	0.06	0.06	0.05	0.08	0.07	0.05	0.07	0.08	0.07	0.07	0.08	0.07	0.08	0.07	0.09	0.07	0.07	0.09	0.06	0.07	0.07	0.09	0.07	0.06	0.08	0.09	0.08	0.04	0.07	0.07	0.08	0.03	0.04	0.08	0.08	0.06	0.07	0.07	0.08	0.08	0.06	0.07	0.04	0.05	0.06	0.07	0.09	0.07	0.07	0.07	0.09	0.08	0.07	0.07	0.08	0.07	0.06	0.08	0.09	0.08	0.07	0.07	0.1	0.08	0.07	0.07	0.08	0.07	0.09	0.07	0.07	0.09	0.1	0.09	0.09	0.08	0.07	0.06	0.06	0.07	0.07	0.05	0.08	0.08	0.11	0.06	0.06	0.05	0.07	0.07	0.04	0.07	0.07	0.06	0.07	0.06	0.09	0.07	0.08	0.05	0.06	0.07	0.07	0.05	0.08	0.07	0.07	0.07	0.08	0.07	0.08	0.08	0.08	0.07	0.07	0.06	0.07	0.08	0.08	0.07	0.08	0.07	0.08	0.08	0.08	0.07	0.08	0.06	0.06	0.1	0.06	0.07	0.04	0.06	0.08	0.08	0.08	0.07	0.04	0.06	0.06	0.06	0.06	0.06	0.06	0.05	0.07	0.09	0.09	0.09	0.08	0.06	0.08	0.04	0.07	0.06	0.08	0.07	0.07	0.08	0.06	0.08	0.07	0.06	0.05	0.06	0.06	0.08	0.08	0.08	0.06	0.05	0.07	0.07	0.08	0.06	0.06	0.05	0.05	0.06	0.07	0.08	0.08	0.08	0.06	0.05	0.08	0.07	0.07	0.04	0.07	0.05
cg16400825	0.05	0.05	0.07	0.05	0.06	0.05	0.05	0.04	0.05	0.06	0.06	0.06	0.05	0.08	0.05	0.06	0.06	0.08	0.07	0.06	0.07	0.07	0.07	0.06	0.06	0.07	0.05	0.05	0.08	0.06	0.06	0.06	0.06	0.06	0.05	0.04	0.06	0.08	0.04	0.06	0.06	0.06	0.07	0.06	0.05	0.04	0.04	0.05	0.06	0.06	0.06	0.05	0.07	0.07	0.06	0.06	0.06	0.06	0.06	0.07	0.05	0.07	0.06	0.07	0.06	0.08	0.08	0.07	0.06	0.06	0.04	0.07	0.08	0.06	0.07	0.09	0.07	0.07	0.08	0.06	0.05	0.05	0.06	0.05	0.04	0.06	0.06	0.06	0.05	0.05	0.04	0.05	0.04	0.05	0.07	0.05	0.04	0.06	0.06	0.06	0.05	0.05	0.06	0.03	0.06	0.06	0.05	0.07	0.05	0.07	0.06	0.06	0.07	0.07	0.06	0.06	0.07	0.07	0.07	0.06	0.06	0.05	0.07	0.06	0.06	0.08	0.06	0.08	0.07	0.07	0.06	0.05	0.06	0.07	0.06	0.04	0.06	0.06	0.05	0.06	0.08	0.05	0.06	0.05	0.07	0.06	0.06	0.05	0.07	0.06	0.04	0.05	0.07	0.05	0.06	0.06	0.04	0.07	0.06	0.06	0.06	0.05	0.06	0.05	0.06	0.05	0.05	0.05	0.05	0.04	0.06	0.06	0.06	0.06	0.04	0.06	0.04	0.06	0.04	0.04	0.05	0.05	0.05	0.06	0.05	0.05	0.07	0.05	0.07	0.05	0.05	0.06	0.04	0.06	0.04
cg14290451	0.03	0.04	0.05	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.05	0.04	0.02	0.04	0.04	0.04	0.04	0.02	0.03	0.04	0.02	0.04	0.04	0.03	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.04	0.04	0.04	0.03	0.05	0.04	0.03	0.03	0.05	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.05	0.04	0.03	0.03	0.06	0.03	0.04	0.07	0.07	0.06	0.04	0.04	0.03	0.03	0.04	0.05	0.04	0.02	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.02	0.03	0.04	0.03	0.05	0.03	0.04	0.02	0.03	0.03	0.05	0.03	0.05	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.05	0.05	0.05	0.05	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.06	0.03	0.04	0.03	0.04	0.03	0.06	0.04	0.03	0.04	0.02	0.04	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.03	0.03	0.03	0.02	0.03	0.04	0.05	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.03
cg04315264	0.13	0.12	0.12	0.09	0.11	0.09	0.08	0.07	0.11	0.09	0.13	0.1	0.1	0.1	0.13	0.16	0.08	0.11	0.09	0.1	0.1	0.09	0.1	0.11	0.12	0.11	0.1	0.09	0.12	0.14	0.1	0.11	0.11	0.11	0.08	0.09	0.12	0.13	0.1	0.11	0.14	0.1	0.12	0.09	0.1	0.07	0.11	0.09	0.11	0.15	0.09	0.1	0.09	0.1	0.09	0.09	0.15	0.1	0.11	0.1	0.09	0.1	0.17	0.12	0.1	0.23	0.11	0.12	0.12	0.15	0.12	0.11	0.14	0.1	0.19	0.14	0.12	0.1	0.11	0.09	0.1	0.1	0.13	0.14	0.09	0.1	0.08	0.13	0.11	0.1	0.1	0.09	0.08	0.1	0.11	0.1	0.09	0.11	0.11	0.15	0.14	0.09	0.12	0.09	0.09	0.1	0.09	0.09	0.13	0.1	0.08	0.1	0.09	0.11	0.13	0.12	0.16	0.1	0.13	0.11	0.11	0.11	0.14	0.13	0.09	0.13	0.12	0.12	0.12	0.12	0.1	0.12	0.12	0.14	0.1	0.12	0.08	0.09	0.1	0.13	0.12	0.08	0.1	0.12	0.12	0.08	0.09	0.14	0.1	0.11	0.13	0.13	0.12	0.1	0.12	0.09	0.07	0.17	0.21	0.11	0.08	0.1	0.11	0.11	0.11	0.12	0.11	0.09	0.09	0.08	0.12	0.09	0.12	0.08	0.08	0.11	0.1	0.09	0.07	0.1	0.09	0.11	0.11	0.09	0.18	0.1	0.14	0.09	0.08	0.09	0.08	0.1	0.11	0.11	0.1
cg00862770	0.04	0.03	0.05	0.04	0.04	0.05	0.05	0.05	0.04	0.05	0.04	0.05	0.05	0.04	0.04	0.06	0.04	0.06	0.05	0.04	0.04	0.03	0.06	0.04	0.04	0.04	0.03	0.04	0.04	0.05	0.05	0.04	0.06	0.03	0.12	0.07	0.03	0.05	0.43	0.03	0.06	0.03	0.04	0.04	0.03	0.12	0.28	0.4	0.06	0.05	0.04	0.05	0.29	0.04	0.43	0.04	0.03	0.26	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.34	0.05	0.03	0.04	0.04	0.04	0.05	0.05	0.07	0.08	0.07	0.24	0.04	0.04	0.05	0.04	0.34	0.22	0.59	0.06	0.29	0.54	0.03	0.16	0.47	0.04	0.04	0.04	0.05	0.05	0.03	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.03	0.05	0.03	0.04	0.04	0.04	0.05	0.03	0.04	0.04	0.04	0.05	0.05	0.05	0.04	0.03	0.04	0.13	0.09	0.04	0.05	0.05	0.06	0.21	0.05	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.48	0.04	0.04	0.05	0.03	0.03	0.04	0.04	0.04	0.14	0.03	0.1	0.04	0.05	0.03	0.05	0.05	0.04	0.05	0.05	0.05	0.04	0.07	0.05	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.05	0.07	0.06	0.04	0.04	0.06
cg21712685	0.05	0.04	0.05	0.04	0.06	0.05	0.09	0.05	0.05	0.06	0.12	0.33	0.1	0.07	0.08	0.08	0.09	0.11	0.07	0.08	0.08	0.33	0.08	0.05	0.08	0.07	0.1	0.08	0.08	0.06	0.05	0.09	0.24	0.07	0.06	0.07	0.2	0.13	0.08	0.08	0.08	0.06	0.08	0.06	0.04	0.07	0.06	0.26	0.05	0.07	0.1	0.1	0.1	0.1	0.09	0.1	0.1	0.06	0.07	0.08	0.06	0.07	0.06	0.49	0.48	0.1	0.09	0.07	0.08	0.06	0.06	0.07	0.12	0.07	0.07	0.06	0.08	0.07	0.06	0.11	0.07	0.04	0.1	0.05	0.06	0.06	0.09	0.07	0.05	0.05	0.05	0.05	0.06	0.04	0.34	0.41	0.04	0.06	0.07	0.08	0.04	0.1	0.04	0.07	0.05	0.05	0.07	0.07	0.09	0.08	0.09	0.1	0.08	0.07	0.06	0.05	0.05	0.05	0.08	0.06	0.06	0.14	0.1	0.06	0.07	0.08	0.08	0.07	0.05	0.07	0.07	0.05	0.06	0.08	0.06	0.04	0.08	0.11	0.07	0.04	0.06	0.07	0.05	0.05	0.07	0.04	0.08	0.06	0.07	0.07	0.06	0.07	0.08	0.09	0.07	0.05	0.07	0.06	0.05	0.26	0.09	0.09	0.06	0.06	0.07	0.04	0.06	0.06	0.05	0.06	0.05	0.06	0.04	0.18	0.12	0.04	0.07	0.1	0.08	0.06	0.08	0.07	0.05	0.06	0.08	0.11	0.06	0.05	0.06	0.08	0.05	0.06	0.05	0.06	0.06
cg11529128	0.52	0.05	0.13	0.33	0.05	0.16	0.17	0.16	0.06	0.05	0.06	0.42	0.23	0.19	0.5	0.32	0.08	0.08	0.07	0.11	0.14	0.63	0.12	0.13	0.08	0.16	0.08	0.1	0.1	0.09	0.18	0.4	0.28	0.26	0.07	0.25	0.38	0.09	0.24	0.13	0.05	0.45	0.07	0.1	0.14	0.5	0.11	0.52	0.3	0.16	0.3	0.14	0.4	0.11	0.27	0.44	0.19	0.18	0.17	0.12	0.34	0.15	0.08	0.7	0.43	0.14	0.1	0.12	0.13	0.19	0.12	0.1	0.1	0.3	0.11	0.31	0.35	0.41	0.26	0.21	0.26	0.47	0.33	0.45	0.39	0.17	0.27	0.1	0.16	0.12	0.27	0.08	0.26	0.1	0.26	0.53	0.08	0.25	0.07	0.49	0.17	0.2	0.53	0.09	0.07	0.13	0.13	0.13	0.07	0.15	0.22	0.09	0.13	0.08	0.05	0.11	0.11	0.06	0.07	0.23	0.1	0.07	0.17	0.08	0.08	0.1	0.14	0.17	0.08	0.16	0.06	0.11	0.07	0.09	0.07	0.08	0.1	0.08	0.08	0.14	0.12	0.12	0.13	0.21	0.05	0.22	0.06	0.33	0.05	0.07	0.07	0.43	0.05	0.13	0.06	0.12	0.08	0.07	0.06	0.57	0.38	0.05	0.11	0.07	0.08	0.21	0.3	0.43	0.16	0.16	0.44	0.06	0.08	0.11	0.07	0.15	0.07	0.09	0.12	0.1	0.06	0.11	0.06	0.07	0.07	0.35	0.4	0.11	0.1	0.08	0.11	0.08	0.32	0.11	0.04
cg04286043	0.05	0.05	0.06	0.04	0.05	0.06	0.04	0.05	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.04	0.04	0.09	0.03	0.06	0.05	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.05	0.04	0.05	0.03	0.06	0.06	0.05	0.05	0.06	0.03	0.04	0.06	0.04	0.04	0.05	0.04	0.05	0.04	0.04	0.04	0.06	0.04	0.03	0.04	0.05	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.05	0.06	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.04	0.05	0.05	0.06	0.04	0.04	0.05	0.04	0.05	0.05	0.05	0.08	0.04	0.04	0.04	0.07	0.05	0.04	0.06	0.04	0.04	0.06	0.05	0.06	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.05	0.04	0.05	0.06	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.03	0.04	0.04	0.05	0.04	0.05	0.05	0.04	0.06	0.05	0.04	0.05	0.04	0.07	0.06	0.06	0.05	0.04	0.04	0.06	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.05	0.05	0.04	0.04	0.04	0.06	0.04	0.04	0.05	0.04	0.05	0.04	0.04	0.04	0.05	0.04	0.05	0.05	0.07	0.05	0.05	0.05	0.06	0.06	0.05	0.04	0.06	0.05	0.05	0.06	0.05	0.06	0.04	0.05	0.05	0.06	0.05	0.04	0.06	0.04	0.03	0.06
cg24170535	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.05	0.04	0.04	0.05	0.04	0.05	0.04	0.03	0.04	0.04	0.04	0.03	0.05	0.03	0.05	0.07	0.03	0.04	0.04	0.03	0.03	0.05	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.05	0.04	0.03	0.04	0.04	0.05	0.04	0.05	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.03	0.04	0.04	0.07	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.04	0.05	0.03	0.04	0.03	0.04	0.04	0.03	0.05	0.04	0.05	0.05	0.05	0.05	0.03	0.05	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.05	0.04	0.04	0.05	0.05	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.05	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.05	0.04	0.05	0.04	0.05	0.04	0.04	0.04	0.03	0.03	0.05	0.04	0.04	0.04	0.05	0.05	0.04	0.06	0.04	0.05	0.04	0.05	0.04	0.04	0.03	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.03	0.03	0.04
