	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
cg01439669	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.04	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.04	0.04	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.07	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.04	0.03	0.14	0.02
cg20951821	0.05	0.05	0.06	0.05	0.07	0.05	0.05	0.06	0.04	0.05	0.06	0.05	0.03	0.06	0.05	0.05	0.06	0.06	0.06	0.05	0.05	0.06	0.05	0.05	0.05	0.06	0.07	0.07	0.05	0.07	0.05	0.32	0.05	0.04	0.06	0.05	0.05	0.05	0.07	0.04	0.05	0.04	0.06	0.04	0.06	0.04	0.05	0.05	0.05	0.06	0.05	0.07	0.06	0.05	0.06	0.05	0.04	0.03	0.05	0.06	0.05	0.06	0.05	0.06	0.07	0.05	0.05	0.04	0.06	0.06	0.05	0.06	0.05	0.05	0.05	0.06	0.05	0.05	0.05
cg20030243	0.05	0.05	0.05	0.04	0.07	0.05	0.29	0.06	0.05	0.06	0.08	0.04	0.05	0.04	0.05	0.06	0.06	0.06	0.06	0.05	0.07	0.05	0.04	0.06	0.05	0.05	0.07	0.06	0.05	0.05	0.05	0.03	0.07	0.05	0.05	0.05	0.05	0.06	0.05	0.05	0.05	0.06	0.06	0.04	0.06	0.05	0.06	0.07	0.06	0.06	0.04	0.08	0.05	0.05	0.05	0.06	0.05	0.04	0.06	0.05	0.06	0.06	0.06	0.07	0.06	0.04	0.06	0.06	0.06	0.07	0.06	0.06	0.06	0.06	0.05	0.05	0.05	0.05	0.06
cg11591325	0.13	0.02	0.05	0.47	0.02	0.02	0.01	0.02	0.03	0.01	0.14	0.02	0.02	0.17	0.71	0.02	0.06	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.28	0.22	0.01	0.2	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.1	0.02	0.05	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.06	0.02	0.02	0.01	0.01	0.33	0.02	0.02	0.01	0.08	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02
cg24231716	0.13	0.11	0.06	0.21	0.05	0.39	0.19	0.07	0.18	0.08	0.05	0.05	0.67	0.06	0.45	0.05	0.45	0.05	0.41	0.56	0.07	0.79	0.06	0.06	0.11	0.05	0.06	0.04	0.31	0.09	0.05	0.54	0.5	0.53	0.07	0.55	0.41	0.09	0.07	0.05	0.19	0.06	0.06	0.04	0.13	0.45	0.05	0.18	0.07	0.06	0.2	0.06	0.04	0.05	0.06	0.05	0.12	0.85	0.05	0.19	0.05	0.06	0.05	0.26	0.17	0.06	0.06	0.08	0.04	0.05	0.07	0.34	0.05	0.14	0.06	0.05	0.06	0.28	0.06
cg01692815	0.04	0.03	0.04	0.14	0.05	0.03	0.39	0.06	0.05	0.04	0.08	0.04	0.03	0.03	0.06	0.18	0.06	0.04	0.03	0.63	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.05	0.03	0.03	0.03	0.62	0.03	0.23	0.03	0.03	0.03	0.13	0.04	0.03	0.02	0.03	0.03	0.06	0.04	0.03	0.15	0.03	0.03	0.03	0.04	0.04	0.02	0.03	0.03	0.04	0.03	0.8	0.04	0.03	0.03	0.03	0.16	0.05	0.05	0.03	0.03	0.03	0.03	0.26	0.39	0.03	0.17	0.03	0.03	0.03	0.03	0.04	0.43
cg02725014	0.04	0.06	0.06	0.07	0.06	0.05	0.05	0.06	0.07	0.05	0.07	0.06	0.06	0.06	0.1	0.08	0.07	0.08	0.07	0.07	0.08	0.07	0.07	0.08	0.05	0.07	0.06	0.08	0.06	0.08	0.08	0.05	0.08	0.04	0.07	0.07	0.06	0.06	0.07	0.06	0.05	0.07	0.08	0.05	0.08	0.06	0.06	0.05	0.06	0.07	0.06	0.08	0.08	0.07	0.06	0.08	0.06	0.05	0.08	0.08	0.07	0.08	0.06	0.09	0.09	0.04	0.07	0.07	0.07	0.04	0.07	0.09	0.07	0.06	0.08	0.07	0.05	0.08	0.05
cg09147213	0.09	0.08	0.07	0.1	0.08	0.12	0.13	0.1	0.09	0.11	0.09	0.09	0.08	0.1	0.1	0.12	0.08	0.12	0.1	0.06	0.12	0.09	0.13	0.12	0.12	0.1	0.11	0.09	0.07	0.08	0.15	0.07	0.09	0.08	0.08	0.08	0.07	0.1	0.11	0.14	0.11	0.12	0.09	0.08	0.09	0.1	0.1	0.1	0.12	0.12	0.11	0.09	0.1	0.09	0.11	0.07	0.07	0.11	0.1	0.11	0.11	0.1	0.09	0.11	0.11	0.1	0.09	0.1	0.1	0.05	0.1	0.11	0.09	0.12	0.09	0.12	0.11	0.09	0.1
cg26413355	0.04	0.05	0.03	0.03	0.04	0.04	0.07	0.04	0.19	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.05	0.04	0.05	0.03	0.03	0.03	0.04	0.03	0.05	0.08	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.05	0.04	0.07	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.05	0.03	0.03	0.04	0.03
cg19184518	0.07	0.04	0.05	0.06	0.06	0.05	0.05	0.06	0.06	0.05	0.07	0.05	0.05	0.05	0.06	0.06	0.06	0.07	0.06	0.05	0.05	0.05	0.05	0.06	0.04	0.06	0.06	0.06	0.06	0.05	0.06	0.07	0.05	0.04	0.05	0.04	0.05	0.05	0.05	0.06	0.05	0.03	0.06	0.04	0.05	0.05	0.06	0.05	0.07	0.05	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.06	0.06	0.06	0.06	0.06	0.05	0.06	0.06	0.06	0.08	0.06	0.07	0.06	0.04	0.06	0.05	0.05	0.05	0.05	0.05	0.05	0.05
cg04525496	0.06	0.05	0.07	0.07	0.06	0.09	0.06	0.05	0.05	0.06	0.07	0.06	0.26	0.08	0.06	0.06	0.09	0.09	0.06	0.07	0.06	0.07	0.05	0.06	0.05	0.07	0.07	0.06	0.06	0.13	0.06	0.11	0.07	0.03	0.07	0.08	0.05	0.07	0.08	0.05	0.06	0.05	0.06	0.05	0.05	0.06	0.06	0.04	0.05	0.08	0.06	0.07	0.07	0.07	0.07	0.05	0.06	0.04	0.08	0.05	0.08	0.07	0.06	0.06	0.08	0.06	0.23	0.06	0.07	0.08	0.06	0.07	0.06	0.06	0.08	0.07	0.06	0.09	0.06
cg10215884	0.05	0.05	0.06	0.06	0.06	0.07	0.08	0.04	0.05	0.06	0.07	0.06	0.05	0.06	0.04	0.06	0.07	0.1	0.06	0.04	0.08	0.05	0.05	0.06	0.04	0.06	0.1	0.04	0.06	0.04	0.06	0.03	0.05	0.06	0.06	0.04	0.06	0.08	0.06	0.04	0.04	0.08	0.08	0.04	0.05	0.04	0.07	0.04	0.06	0.05	0.08	0.06	0.04	0.06	0.07	0.08	0.04	0.05	0.05	0.06	0.07	0.06	0.09	0.05	0.07	0.05	0.1	0.07	0.05	0.06	0.05	0.05	0.04	0.13	0.11	0.06	0.07	0.05	0.05
cg18287975	0.03	0.05	0.04	0.03	0.04	0.05	0.06	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.04	0.04	0.03	0.03	0.03	0.04	0.05	0.03	0.05	0.03	0.03	0.04	0.04	0.04	0.05	0.03	0.04	0.03	0.04	0.05	0.03	0.03	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.05	0.03	0.04	0.04	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.02	0.04	0.04	0.04	0.04	0.03	0.04	0.04
cg08223748	0.04	0.03	0.05	0.05	0.05	0.05	0.04	0.04	0.03	0.05	0.05	0.04	0.03	0.05	0.04	0.04	0.04	0.05	0.06	0.03	0.05	0.03	0.05	0.05	0.04	0.04	0.05	0.06	0.04	0.04	0.03	0.05	0.04	0.04	0.05	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.05	0.03	0.04	0.04	0.04	0.05	0.04	0.05	0.03	0.06	0.04	0.04	0.05	0.05	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.06	0.05	0.04	0.04	0.05	0.03	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.04
cg24528447	0.05	0.05	0.04	0.03	0.05	0.08	0.05	0.04	0.05	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.06	0.06	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.05	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.05	0.04	0.04	0.05	0.04	0.05	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.03
cg02320454	0.08	0.04	0.03	0.03	0.04	0.33	0.05	0.03	0.04	0.04	0.04	0.04	0.18	0.03	0.04	0.04	0.03	0.04	0.04	0.18	0.03	0.06	0.04	0.03	0.37	0.03	0.03	0.35	0.04	0.28	0.04	0.58	0.03	0.22	0.03	0.03	0.47	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.05	0.04	0.04	0.03	0.02	0.04	0.03	0.04	0.04	0.03	0.03	0.63	0.72	0.04	0.04	0.03	0.04	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.06	0.02	0.04	0.03	0.03	0.03	0.03	0.03	0.6
cg24274600	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.05	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.02	0.03	0.03	0.03	0.04	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.05	0.03	0.03	0.03	0.04	0.03	0.05	0.02	0.03	0.03	0.03	0.04	0.03	0.03	0.03
cg11017269	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.02
cg21091679	0.07	0.1	0.07	0.25	0.07	0.1	0.47	0.5	0.06	0.11	0.08	0.08	0.06	0.11	0.13	0.16	0.11	0.08	0.08	0.05	0.06	0.07	0.39	0.08	0.1	0.06	0.07	0.13	0.08	0.04	0.07	0.15	0.08	0.17	0.1	0.07	0.26	0.18	0.3	0.2	0.09	0.05	0.08	0.06	0.07	0.5	0.12	0.07	0.07	0.09	0.08	0.12	0.09	0.07	0.09	0.09	0.09	0.43	0.07	0.07	0.07	0.14	0.09	0.18	0.08	0.09	0.22	0.06	0.1	0.09	0.11	0.11	0.27	0.09	0.09	0.47	0.05	0.5	0.47
cg09593402	0.07	0.08	0.09	0.14	0.09	0.11	0.06	0.3	0.08	0.09	0.16	0.07	0.07	0.09	0.41	0.11	0.1	0.09	0.08	0.09	0.1	0.07	0.08	0.08	0.11	0.1	0.09	0.26	0.09	0.08	0.07	0.06	0.07	0.1	0.1	0.08	0.09	0.11	0.29	0.09	0.08	0.07	0.08	0.1	0.08	0.08	0.32	0.07	0.1	0.08	0.08	0.1	0.07	0.09	0.09	0.1	0.09	0.07	0.11	0.1	0.08	0.08	0.08	0.08	0.14	0.08	0.16	0.07	0.1	0.3	0.36	0.11	0.21	0.08	0.08	0.07	0.07	0.09	0.64
cg13320626	0.06	0.04	0.03	0.03	0.04	0.39	0.12	0.08	0.04	0.03	0.04	0.05	0.11	0.1	0.04	0.04	0.02	0.04	0.03	0.38	0.05	0.2	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.05	0.03	0.05	0.03	0.02	0.13	0.04	0.03	0.04	0.5	0.04	0.03	0.06	0.04	0.08	0.08	0.03	0.03	0.28	0.04	0.03	0.03	0.03	0.02	0.05	0.04	0.9	0.05	0.04	0.03	0.03	0.22	0.47	0.03	0.03	0.51	0.03	0.03	0.05	0.03	0.04	0.06	0.03	0.03	0.02	0.06	0.41	0.06
cg04380513	0.03	0.03	0.03	0.02	0.03	0.37	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.05	0.03	0.03	0.03	0.03	0.21	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.04	0.02	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.36	0.04	0.03	0.03	0.03	0.03	0.11	0.03	0.02	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.05	0.03
cg21596317	0.04	0.05	0.05	0.05	0.05	0.38	0.05	0.05	0.05	0.05	0.04	0.03	0.04	0.05	0.04	0.04	0.03	0.06	0.04	0.04	0.05	0.03	0.04	0.05	0.12	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.05	0.05	0.06	0.04	0.04	0.03	0.03	0.03	0.05	0.04	0.05	0.04	0.04	0.11	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.03	0.03	0.04	0.03	0.04	0.05	0.03	0.04	0.03	0.05	0.05	0.05	0.04	0.04	0.05	0.04	0.04	0.05	0.04	0.2	0.04	0.06	0.04	0.06	0.04
cg09671005	0.04	0.04	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.05	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.03	0.05	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04
cg09000112	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.04	0.05	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.04	0.05	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.04	0.04	0.05	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.05	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.05	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.04	0.05	0.03
cg07611177	0.04	0.03	0.05	0.03	0.04	0.04	0.05	0.04	0.06	0.14	0.05	0.03	0.04	0.03	0.05	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.07	0.04	0.09	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.02	0.04	0.04	0.04	0.03	0.04	0.46	0.04	0.04	0.12	0.03	0.33	0.04	0.04	0.04	0.03	0.02	0.04	0.07	0.04	0.03	0.03	0.03	0.04
cg05497616	0.01	0.01	0.01	0.01	0.01	0.38	0.01	0.01	0.01	0.36	0.01	0.01	0.01	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.06	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.02	0.26	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.23	0.01	0.01	0.02	0.07	0.01
cg23043119	0.06	0.05	0.06	0.05	0.06	0.05	0.06	0.05	0.05	0.07	0.06	0.05	0.05	0.05	0.06	0.05	0.06	0.06	0.06	0.05	0.06	0.05	0.07	0.05	0.07	0.06	0.06	0.06	0.07	0.05	0.06	0.04	0.06	0.05	0.06	0.06	0.05	0.05	0.06	0.05	0.05	0.05	0.06	0.04	0.06	0.04	0.06	0.04	0.05	0.06	0.05	0.06	0.05	0.07	0.06	0.06	0.04	0.04	0.05	0.06	0.06	0.06	0.05	0.06	0.07	0.06	0.05	0.05	0.06	0.07	0.06	0.06	0.06	0.06	0.06	0.06	0.07	0.06	0.06
cg09573435	0.05	0.05	0.05	0.08	0.06	0.04	0.4	0.05	0.04	0.04	0.05	0.04	0.04	0.05	0.04	0.06	0.05	0.03	0.05	0.03	0.04	0.06	0.06	0.05	0.04	0.07	0.05	0.05	0.05	0.05	0.04	0.05	0.05	0.05	0.05	0.04	0.05	0.05	0.05	0.05	0.05	0.04	0.05	0.04	0.05	0.03	0.04	0.05	0.05	0.06	0.05	0.06	0.05	0.05	0.05	0.05	0.05	0.04	0.06	0.05	0.05	0.05	0.06	0.05	0.06	0.04	0.05	0.05	0.06	0.05	0.05	0.04	0.06	0.05	0.03	0.05	0.05	0.06	0.04
cg12928668	0.06	0.06	0.06	0.07	0.08	0.06	0.66	0.04	0.05	0.12	0.05	0.22	0.05	0.07	0.05	0.08	0.07	0.07	0.06	0.06	0.09	0.05	0.08	0.07	0.07	0.06	0.07	0.06	0.06	0.05	0.07	0.14	0.06	0.05	0.05	0.05	0.06	0.06	0.05	0.06	0.11	0.05	0.06	0.05	0.06	0.27	0.07	0.04	0.05	0.06	0.08	0.07	0.05	0.06	0.1	0.05	0.04	0.04	0.05	0.06	0.07	0.1	0.09	0.07	0.07	0.08	0.05	0.06	0.07	0.08	0.04	0.05	0.06	0.11	0.1	0.05	0.05	0.06	0.06
cg11960393	0.04	0.05	0.03	0.03	0.04	0.48	0.04	0.35	0.04	0.04	0.32	0.04	0.04	0.04	0.49	0.14	0.04	0.02	0.04	0.05	0.04	0.04	0.05	0.03	0.12	0.03	0.04	0.04	0.04	0.8	0.1	0.07	0.05	0.08	0.25	0.06	0.03	0.05	0.05	0.13	0.03	0.03	0.04	0.05	0.04	0.04	0.03	0.05	0.04	0.03	0.05	0.04	0.04	0.21	0.03	0.06	0.15	0.05	0.39	0.03	0.04	0.04	0.04	0.03	0.04	0.04	0.4	0.16	0.04	0.03	0.04	0.03	0.12	0.04	0.04	0.03	0.04	0.77	0.94
cg17425616	0.1	0.09	0.08	0.08	0.11	0.19	0.36	0.11	0.07	0.4	0.1	0.06	0.13	0.09	0.08	0.13	0.11	0.09	0.1	0.09	0.11	0.08	0.08	0.09	0.06	0.11	0.1	0.1	0.08	0.06	0.07	0.11	0.09	0.09	0.08	0.05	0.12	0.11	0.12	0.09	0.08	0.09	0.07	0.07	0.09	0.26	0.17	0.11	0.07	0.09	0.09	0.1	0.1	0.09	0.1	0.11	0.08	0.12	0.11	0.09	0.07	0.09	0.1	0.09	0.11	0.09	0.11	0.06	0.09	0.1	0.1	0.09	0.11	0.1	0.09	0.22	0.08	0.08	0.42
cg05389183	0.03	0.04	0.02	0.04	0.03	0.04	0.05	0.03	0.04	0.05	0.05	0.03	0.04	0.03	0.03	0.05	0.05	0.06	0.03	0.03	0.07	0.04	0.06	0.03	0.04	0.05	0.08	0.02	0.03	0.04	0.04	0.04	0.05	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.06	0.06	0.03	0.03	0.02	0.05	0.03	0.03	0.13	0.05	0.02	0.03	0.04	0.03	0.03	0.05	0.03	0.06	0.02	0.03	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.08	0.05	0.04	0.03	0.06	0.28
cg15034135	0.03	0.03	0.03	0.03	0.03	0.15	0.25	0.03	0.03	0.27	0.03	0.03	0.03	0.04	0.05	0.04	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.04	0.02	0.02	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.1	0.03	0.02	0.03	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.09	0.03	0.02	0.04	0.03	0.03	0.05	0.27	0.04	0.03	0.07	0.02	0.03	0.03	0.03	0.03	0.03	0.32	0.04	0.03	0.03	0.09	0.04
cg18840461	0.04	0.04	0.04	0.03	0.05	0.03	0.05	0.04	0.08	0.11	0.06	0.1	0.03	0.05	0.05	0.21	0.04	0.07	0.05	0.03	0.05	0.04	0.05	0.04	0.04	0.04	0.05	0.07	0.04	0.04	0.05	0.48	0.05	0.04	0.06	0.03	0.03	0.14	0.05	0.14	0.03	0.13	0.03	0.04	0.04	0.03	0.06	0.04	0.05	0.05	0.07	0.04	0.06	0.09	0.05	0.04	0.05	0.04	0.04	0.04	0.05	0.03	0.17	0.05	0.06	0.27	0.03	0.04	0.05	0.04	0.06	0.05	0.18	0.13	0.06	0.03	0.07	0.03	0.04
cg06638012	0.06	0.05	0.06	0.09	0.08	0.62	0.48	0.15	0.25	0.39	0.33	0.07	0.3	0.52	0.04	0.37	0.15	0.09	0.06	0.24	0.09	0.04	0.12	0.06	0.13	0.06	0.1	0.42	0.29	0.16	0.14	0.06	0.04	0.17	0.31	0.06	0.14	0.09	0.54	0.16	0.45	0.07	0.2	0.04	0.09	0.05	0.25	0.13	0.08	0.1	0.26	0.13	0.12	0.1	0.09	0.53	0.18	0.14	0.1	0.12	0.1	0.15	0.18	0.14	0.27	0.09	0.55	0.18	0.12	0.09	0.77	0.41	0.07	0.17	0.12	0.08	0.11	0.13	0.11
cg22771603	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.02	0.04	0.03	0.03	0.05	0.03	0.03	0.03	0.05	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03
cg01116966	0.07	0.06	0.11	0.09	0.07	0.12	0.34	0.14	0.08	0.08	0.1	0.07	0.06	0.18	0.09	0.1	0.11	0.08	0.08	0.1	0.05	0.07	0.07	0.19	0.12	0.08	0.08	0.11	0.09	0.05	0.07	0.07	0.07	0.08	0.08	0.07	0.07	0.07	0.13	0.13	0.07	0.09	0.08	0.06	0.12	0.09	0.08	0.05	0.06	0.08	0.07	0.09	0.07	0.08	0.07	0.1	0.08	0.05	0.06	0.06	0.08	0.06	0.27	0.17	0.09	0.07	0.14	0.06	0.08	0.08	0.4	0.07	0.07	0.06	0.09	0.07	0.08	0.31	0.08
cg07440414	0.08	0.08	0.1	0.08	0.09	0.15	0.66	0.09	0.09	0.09	0.18	0.08	0.06	0.09	0.49	0.08	0.08	0.09	0.1	0.07	0.09	0.09	0.08	0.09	0.06	0.12	0.08	0.08	0.08	0.07	0.12	0.09	0.11	0.07	0.12	0.31	0.08	0.07	0.08	0.09	0.08	0.07	0.08	0.07	0.09	0.07	0.07	0.08	0.1	0.08	0.12	0.1	0.07	0.09	0.1	0.12	0.09	0.06	0.09	0.07	0.08	0.09	0.08	0.08	0.09	0.08	0.38	0.09	0.1	0.09	0.08	0.1	0.08	0.09	0.09	0.12	0.11	0.71	0.12
